#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)"
14500,28.999999999994806,-43739.461328473226,6742.802989211326,-36996.6583392619,302.2071157449522,27.0,0.9916318011950421
14600,29.199999999994695,-43805.53398248209,6819.323813357154,-36986.21016912494,305.63671877451395,27.0,0.9916318011950421
14700,29.399999999994584,-43682.16219064249,6597.699949811974,-37084.462240830515,295.703711879695,27.0,0.9916318011950421
14800,29.599999999994473,-43936.690144744054,6965.692523997154,-36970.9976207469,312.1968490272585,27.0,0.9916318011950421
14900,29.799999999994363,-43791.74435349955,6742.395846045225,-37049.34850745432,302.18886790913086,27.0,0.9916318011950421
15000,29.99999999999425,-43548.901226248876,6621.472527296346,-36927.42869895253,296.76918006657075,27.0,0.9916318011950421
15100,30.19999999999414,-43719.25667783274,6711.960661235705,-37007.296016597036,300.8247869129685,27.0,0.9916318011950421
15200,30.39999999999403,-43430.69687005533,6540.24363230293,-36890.4532377524,293.12856501221023,27.0,0.9916318011950421
15300,30.59999999999392,-43907.878537383214,6813.125434290195,-37094.75310309302,305.3589123098854,27.0,0.9916318011950421
15400,30.79999999999381,-43952.14253016962,6862.786053221823,-37089.356476947796,307.5846621111845,27.0,0.9916318011950421
15500,30.999999999993697,-43816.937221732274,6639.5086575555115,-37177.428564176764,297.5775452099012,27.0,0.9916318011950421
15600,31.199999999993587,-43609.70162602915,6470.479316209955,-37139.2223098192,290.00178334854445,27.0,0.9916318011950421
15700,31.399999999993476,-43726.5174400474,6624.686748874199,-37101.8306911732,296.9132389444532,27.0,0.9916318011950421
15800,31.599999999993365,-43871.525746550695,6732.032035603409,-37139.49371094729,301.7243700931988,27.0,0.9916318011950421
15900,31.799999999993254,-43667.44132730021,6562.412024357811,-37105.02930294239,294.12213487244907,27.0,0.9916318011950421
16000,31.999999999993143,-43748.56085320963,6756.1696371022235,-36992.391216107404,302.8061983687141,27.0,0.9916318011950421
16100,32.19999999999339,-43823.66667481913,6882.723209705626,-36940.9434651135,308.47822975164,27.0,0.9916318011950421
16200,32.39999999999363,-43624.118029799596,6609.141495695517,-37014.97653410408,296.21651294872544,27.0,0.9916318011950421
16300,32.59999999999388,-43714.9418289329,6646.984842193233,-37067.956986739664,297.91262191312944,27.0,0.9916318011950421
16400,32.79999999999412,-43637.89239427103,6731.492260218435,-36906.400134052594,301.7001777858596,27.0,0.9916318011950421
16500,32.999999999994365,-43591.32720681681,6833.480321511862,-36757.84688530495,306.2712023127842,27.0,0.9916318011950421
16600,33.19999999999461,-43571.77143880381,6867.433600005604,-36704.3378387982,307.79296149514454,27.0,0.9916318011950421
16700,33.399999999994854,-43637.41412278666,6656.76341235717,-36980.65071042949,298.3508897210546,27.0,0.9916318011950421
16800,33.5999999999951,-43736.0800811912,6923.234546942378,-36812.845534248816,310.29391595823375,27.0,0.9916318011950421
16900,33.79999999999534,-43544.70160790934,6786.826220620339,-36757.875387289,304.1802022805038,27.0,0.9916318011950421
17000,33.99999999999559,-43644.47995778574,6866.7135667816265,-36777.766391004116,307.7606901735284,27.0,0.9916318011950421
17100,34.19999999999583,-43683.502379622594,6812.1892803367755,-36871.31309928582,305.3169546275078,27.0,0.9916318011950421
17200,34.399999999996076,-43474.92135259165,6640.681451903817,-36834.23990068783,297.6301089282733,27.0,0.9916318011950421
17300,34.59999999999632,-43688.20761987223,6710.3701865099765,-36977.83743336225,300.7535030892684,27.0,0.9916318011950421
17400,34.799999999996565,-43870.120404448644,6892.198614832856,-36977.921789615786,308.9029099415547,27.0,0.9916318011950421
17500,34.99999999999681,-43828.33702584757,6787.649059662951,-37040.68796618462,304.2170812778864,27.0,0.9916318011950421
17600,35.199999999997054,-43704.082022872106,6632.242814718322,-37071.83920815378,297.2518958603953,27.0,0.9916318011950421
17700,35.3999999999973,-43842.456885543004,6727.856389435681,-37114.60049610732,301.53722092292946,27.0,0.9916318011950421
17800,35.59999999999754,-43857.798415389196,6833.874481214782,-37023.92393417441,306.2888682400184,27.0,0.9916318011950421
17900,35.79999999999779,-43946.8503105308,6820.687390235168,-37126.16292029563,305.69783321550534,27.0,0.9916318011950421
18000,35.99999999999803,-43778.301212515966,6674.7566235603845,-37103.544588955585,299.1573312661233,27.0,0.9916318011950421
18100,36.199999999998276,-43743.62270852579,6636.701222103943,-37106.92148642185,297.4517181655969,27.0,0.9916318011950421
18200,36.39999999999852,-43728.66722413553,6775.046017648505,-36953.62120648703,303.65222286768335,27.0,0.9916318011950421
18300,36.599999999998765,-44171.57207223429,6979.214914068218,-37192.35715816607,312.8029118927898,27.0,0.9916318011950421
18400,36.79999999999901,-44212.32795831217,6968.488109327203,-37243.839848984964,312.32214495845585,27.0,0.9916318011950421
18500,36.999999999999254,-43868.68143865122,6537.404300396457,-37331.277138254765,293.00130839393586,27.0,0.9916318011950421
18600,37.1999999999995,-44082.04058858408,6703.561159090366,-37378.47942949372,300.4483278467467,27.0,0.9916318011950421
18700,37.39999999999974,-43979.89915963663,6567.998630008518,-37411.90052962811,294.37252213472067,27.0,0.9916318011950421
18800,37.59999999999999,-44027.08170625223,6631.615401244868,-37395.466305007365,297.2237756830009,27.0,0.9916318011950421
18900,37.80000000000023,-44096.16290208353,6537.193888758168,-37558.96901332536,292.99187791014026,27.0,0.9916318011950421
19000,38.000000000000476,-44055.19183846964,6670.619807332376,-37384.572031137264,298.971922423149,27.0,0.9916318011950421
19100,38.20000000000072,-43922.431119170324,6559.697713332527,-37362.7334058378,294.0004815915364,27.0,0.9916318011950421
19200,38.400000000000965,-43880.51974889292,6660.605945780363,-37219.913803112555,298.5231090406514,27.0,0.9916318011950421
19300,38.60000000000121,-43963.953841414586,6841.370746926607,-37122.58309448798,306.6248449611615,27.0,0.9916318011950421
19400,38.800000000001454,-43513.70246430887,6560.449648790674,-36953.2528155182,294.03418274614467,27.0,0.9916318011950421
19500,39.0000000000017,-43606.714786734716,6812.019245686819,-36794.6955410479,305.3093338085068,27.0,0.9916318011950421
19600,39.20000000000194,-43629.74488946451,6844.572515343083,-36785.17237412143,306.7683456981657,27.0,0.9916318011950421
19700,39.40000000000219,-43748.75369473948,6822.535836361729,-36926.21785837775,305.7806791140748,27.0,0.9916318011950421
19800,39.60000000000243,-43665.94123384012,6773.684124542321,-36892.2571092978,303.5911838920183,27.0,0.9916318011950421
19900,39.800000000002676,-43573.35461350931,6686.811796159482,-36886.54281734983,299.69763460092486,27.0,0.9916318011950421
20000,40.00000000000292,-43877.535804000036,6814.779820462676,-37062.75598353736,305.43306059425817,27.0,0.9916318011950421
20100,40.200000000003165,-43865.967292037145,6783.049723753348,-37082.917568283796,304.0109426673104,27.0,0.9916318011950421
20200,40.40000000000341,-44037.28956719889,6792.681729158955,-37244.607838039934,304.44264155827995,27.0,0.9916318011950421
20300,40.600000000003654,-44028.82660790934,6717.312674080137,-37311.5139338292,301.0646599105533,27.0,0.9916318011950421
20400,40.8000000000039,-44082.44955178751,6713.734838027991,-37368.71471375952,300.9043041185099,27.0,0.9916318011950421
20500,41.00000000000414,-43826.73128339304,6629.662231914871,-37197.06905147817,297.13623617298936,27.0,0.9916318011950421
